loyalty_number,total_flights,total_distance,total_points_accumulated,total_points_redeemed,total_dollar_cost_points_redeemed,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,enrollment_type,cancellation_year,cancellation_month,salary_bracket
100102,51,68918,68918.0,1195,215,Canada,Ontario,Toronto,M1R 4K3,Male,College,79245.6094087527,Single,Nova,Standard,0.0,0.0,Medium
100140,47,72856,72856.0,593,107,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,College,79245.6094087527,Divorced,Nova,Standard,0.0,0.0,Medium
100214,22,38236,38236.0,861,155,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,63253.0,Married,Star,Standard,0.0,0.0,Medium
100272,37,54997,54997.0,1007,182,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,91163.0,Divorced,Star,Standard,0.0,0.0,Medium
100301,41,62849,62849.0,1381,249,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,70323.0,Divorced,Nova,Standard,0.0,0.0,Medium
100642,36,53386,53386.0,502,90,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,51667.0,Married,Nova,Standard,0.0,0.0,Medium
100644,29,45939,45939.0,2277,410,Canada,Alberta,Peace River,T9O 2W2,Female,Master,94440.0,Divorced,Star,Standard,0.0,0.0,Medium
100646,30,41715,41715.0,559,101,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,101933.0,Married,Star,Standard,0.0,0.0,High
100727,48,75593,75593.0,1570,283,Canada,Quebec,Tremblant,H5Y 2S9,Male,Master,128118.0,Married,Nova,Standard,0.0,0.0,High
100816,31,47653,47653.0,0,0,Canada,Ontario,Ottawa,K1F 2R2,Female,Master,97497.0,Divorced,Aurora,Standard,0.0,0.0,Medium
100853,39,47403,47403.0,579,104,Canada,Ontario,Trenton,K8V 4B2,Male,College,79245.6094087527,Married,Star,Standard,0.0,0.0,Medium
